applicant_id_hash,age,annual_income,employment_length_years,home_ownership,region,num_open_accounts,num_delinquencies_2yr,total_revolving_balance,credit_utilisation_pct,months_since_oldest_account,num_hard_inquiries_6mo,loan_amount,interest_rate,loan_purpose,dti_ratio,months_since_last_delinquency,pct_accounts_current,application_date,application_dow,branch_code_id,months_at_current_address,email_domain_type,phone_verified,default_flag,set
11a2f242b28a331c,35.5,29401.0,3.6,MORTGAGE,North-Urban,9.0,7,1778.0,12.7,177.0,2,16326.0,21.11,major_purchase,0.245,1.0,50.9,06/14/2021,Monday,347,119,other,True,0,test
5afff059dc04c6f0,25.0,32005.0,1.4,mortgage,South-Urban,10.0,0,0.0,31.2,42.0,1,8293.0,12.69,medical,0.337,105.0,93.0,2021-08-28,Friday,367,7,free,False,0,train
eb85b183be0505f3,40.0,26730.0,,MORTGAGE,East-Urban,9.0,0,3690.0,29.4,148.0,0,13080.0,10.45,debt_consolidation,0.124,,87.9,2021-02-23,Saturday,895,142,free,True,0,test
7d99629563bdb528,30.9,60105.0,7.5,MORTGAGE,South-Suburban,7.0,0,7636.0,48.8,115.0,2,6752.0,15.26,other,0.218,58.0,96.1,2021-10-07,Thursday,387,69,other,True,1,test
658f1f05e484ce14,49.1,112275.0,6.9,MORTGAGE,East-Suburban,10.0,0,14450.0,68.2,324.0,3,19144.0,9.04,other,0.195,,90.8,23-Aug-2021,Sunday,561,182,free,True,0,test
57d7f15380846079,23.9,25010.0,4.0,MORTGAGE,North-Urban,6.0,1,3962.0,70.8,55.0,0,22065.0,16.56,debt_consolidation,0.294,96.0,84.5,23/03/2021,Thursday,272,164,corporate,True,1,train
dff5de728ed18812,52.5,39710.0,7.9,MORTGAGE,East-Urban,6.0,1,1630.0,66.6,281.0,2,9115.0,13.22,home_improvement,0.214,37.0,57.2,12/30/2021,Wednesday,354,13,free,True,0,train
64a84d3b67c218ea,39.0,94479.0,2.3,MORTGAGE,West-Urban,8.0,0,6899.0,30.4,156.0,4,14302.0,10.11,home_improvement,0.145,,93.6,01/12/2022,Sunday,334,138,corporate,True,0,test
11011b26593b4559,48.2,49147.0,12.3,RENT,Central-Urban,6.0,0,4414.0,57.3,237.0,5,6509.0,11.55,medical,0.137,,92.5,04/08/2021,Wednesday,431,75,corporate,True,0,train
2fffdaa2a3fadc3b,45.1,100583.0,3.4,RENT,North-Suburban,8.0,0,2985.0,33.7,224.0,3,11536.0,8.12,debt_consolidation,0.05,,78.4,22-Oct-2023,Monday,592,151,free,True,0,train
388d5f3e7d4ae132,27.9,63077.0,15.9,RENT,East-Urban,9.0,0,3441.0,38.5,67.0,1,7612.0,11.15,debt_consolidation,0.322,,80.5,2023-07-27,Thursday,158,194,other,True,0,train
550aab2a710235e1,41.8,24701.0,11.1,OWN,South-Urban,9.0,1,0.0,21.9,213.0,1,13631.0,17.6,home_improvement,0.267,26.0,83.4,2023-02-07,Tuesday,419,114,free,False,0,train
e22d8b8eb91db501,21.0,25493.0,6.4,MORTGAGE,North-Urban,9.0,0,0.0,50.4,79.0,1,9938.0,11.25,home_improvement,0.22,,99.1,2023-12-09,Tuesday,959,208,free,True,0,train
e3bb54ed7a39138b,48.6,71159.0,15.5,MORTGAGE,North-Urban,13.0,3,8142.0,44.0,232.0,1,10180.0,16.85,DEBT_CONSOLIDATION,0.235,6.0,80.2,2023-05-20,Saturday,972,51,corporate,True,1,train
e58d431f5897a4b7,21.0,135187.0,7.2,MORTGAGE,East-Suburban,5.0,0,4913.0,38.9,31.0,1,17074.0,7.66,DEBT_CONSOLIDATION,0.074,,77.8,2022-03-28,Monday,635,202,other,True,0,train
55fe943fd0488cd4,28.9,93052.0,0.3,mortgage,East-Urban,8.0,0,2123.0,27.9,97.0,3,11469.0,12.92,major_purchase,0.125,,66.7,2021-12-28,Friday,766,118,corporate,True,0,train
8587a830bbeea4f9,47.9,63149.0,8.0,RENT,South-Suburban,10.0,6,0.0,28.0,215.0,1,7438.0,19.45,major_purchase,0.472,1.0,57.4,2022-07-27,Friday,587,177,free,True,0,train
0f588ac0bdb9f1d7,53.6,96442.0,5.3,RENT,East-Suburban,9.0,0,3026.0,39.9,273.0,0,12415.0,8.8,home_improvement,0.117,,83.2,2022-03-27,Friday,482,89,corporate,True,0,train
